Stock Name,Time Frame,Zone,Entry Price,Stop Loss,Legout Date,Validation Issue,Zone Perfection,Entry Date,Status,Diff,Qty,Tgt,Yahoo Symbol,Last Close Price,Highligh
EICHERMOT,1 HR,DZ,2855.5,2834.0,3/29/2023,All Ok Zone,Perfect Zone,,,21.5,2.325581395,107.5,EICHERMOT.NS,5764.0,
FEDERALBNK,1 HR,DZ,180.6,179.8,3/19/2025,30 m MTF not ok,Doubt Zone,,,0.799999999999983,62.5,4.0,FEDERALBNK.NS,195.86,
FEDERALBNK,2 HR,DZ,122.5,121.45,6/30/2023,Not a Gud Zone,Not Perfect,,,1.0499999999999972,47.61904762,5.25,FEDERALBNK.NS,195.86,
GAIL,2 HR,DZ,141.1,138.25,12/22/2023,"MTF Not Ok , Legout also not gud",Not Perfect,,,2.8499999999999943,17.54385965,14.25,GAIL.NS,173.93,
GAIL,2 HR,DZ,115.55,114.6,09-01-2023,Legout cover,Perfect Zone,,,0.9500000000000028,52.63157895,4.75,GAIL.NS,173.93,
GAIL,1 HR,SZ,192.3,193.4,07-09-2025,to check UOC Form & 2 hr nt gud,Doubt Zone,,,-1.0999999999999943,-45.45454545,-5.5,GAIL.NS,173.93,
GODREJCP,2 HR,DZ,1057.5,1047.55,3/18/2025,Minor Legin TR Issue,Doubt Zone,,,9.950000000000045,5.025125628,49.75,GODREJCP.NS,1184.9,
GODREJPROP,2 HR,DZ,1669.4,1657.2,11-02-2023,All Ok Zone,Perfect Zone,,,12.200000000000045,4.098360656,61.0,GODREJPROP.NS,1936.6,
HAL,2 HR,SZ,5306.65,5335.2,7/18/2024,All Ok Zone,Perfect Zone,,,-28.550000000000182,-1.751313485,-142.75,HAL.NS,4555.1,
HAVELLS,2 HR,DZ,1103.0,1096.3,01-03-2023,"Candle Behind legin , Love at First sight missing",Not Perfect,,,6.7000000000000455,7.462686567,33.5,HAVELLS.NS,1479.2,
HDFCAMC,2 HR,DZ,3247.0,3223.1,01-04-2024,"Legout cover , Candle behind legin",Not Perfect,,,23.90000000000009,2.092050209,119.5,HDFCAMC.NS,5491.0,
HDFCAMC,2 HR,DZ,1766.0,1755.9,5/26/2023,Not a Gud Zone,Not Perfect,,,10.099999999999909,4.95049505,50.5,HDFCAMC.NS,5491.0,
HDFCAMC,2 HR,DZ,5007.0,4986.0,07-08-2025,Legout wick > Body,Not Perfect,,,21.0,2.380952381,105.0,HDFCAMC.NS,5491.0,
HDFCLIFE,2 HR,DZ,466.0,463.0,3/21/2023,All Ok Zone,Perfect Zone,,,3.0,16.66666667,15.0,HDFCLIFE.NS,788.75,
HEROMOTOCO,2 HR,DZ,3178.2,3164.9,11/16/2023,All Ok Zone,Perfect Zone,,,13.299999999999727,3.759398496,66.5,HEROMOTOCO.NS,4708.1,
HINDPETRO,2 HR,DZ,316.0,314.0,03-05-2025,Legout cover,Perfect Zone,,,2.0,25.0,10.0,HINDPETRO.NS,394.35,
HINDUNILVR,2 HR,DZ,2342.6,2337.1,07-07-2025,All OK Zone,Perfect Zone,,,5.5,9.090909091,27.5,HINDUNILVR.NS,2480.6,
ICICIBANK,2 HR,DZ,1217.0,1207.0,03-11-2025,Love at First sight missing,Perfect Zone,,,10.0,5.0,50.0,ICICIBANK.NS,1427.3,
INDHOTEL,2 HR,DZ,579.0,574.05,7/22/2024,Legin Formation Issue,Doubt Zone,,,4.9500000000000455,10.1010101,24.75,INDHOTEL.NS,774.35,
